,AC(mk),AC(mk_all),AC(test),size,F1(mk),F1(mk_all),F1(test),faverage,importance_uniformity,feature_importance,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
287,1.0,1.0,0.924,35,1.0,1.0,0.939,4.055555555555555,0.46,,0.0,0.023311327440230012,0.0,0.0,0.0,0.0,0.00728155339805834,0.06462467946070069,0.0,0.0,0.0,0.015662997271157473,0.0,0.007077654937045975,0.007552870090634544,0.0,0.0,0.0,0.00732600732600737,0.0,0.04067194704744957,0.02425970739740356,0.7273679317190128,0.0,0.0,0.060048849752312235,0.01481447415998754,0.0,0.0,0.0
288,1.0,1.0,0.906,31,1.0,1.0,0.927,4.375,0.39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04174565213550327,0.0,0.0,0.0,0.0,0.015445413721502401,0.0,0.0,0.0,0.019639934533551763,0.0,0.0,0.0,0.0,0.05518099361628267,0.7761108516442918,0.015824109579865884,0.016620498614958307,0.03372386937664564,0.007824921188724429,0.0,0.01120224111205903,0.0066815144766147905
289,1.0,1.0,0.912,33,1.0,1.0,0.93,4.352941176470588,0.475,,0.0,0.024314613136465515,0.0,0.0,0.0,0.0,0.0,0.07671611072604437,0.0,0.0,0.015269664745742489,0.0,0.0,0.0045649502342066245,0.0,0.008645533141210446,0.0,0.006172839506172927,0.0,0.024772164910708487,0.04005113946443337,0.009995887044953581,0.7161615811209383,0.0,0.050274684163015906,0.0,0.02306083180610789,0.0,0.0,0.0
290,0.987,0.987,0.947,25,0.99,0.99,0.959,3.6153846153846154,0.442,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02277296074933758,0.0,0.0,0.015874878856792913,0.0,0.0,0.0,0.007530394219065975,0.04149935949712017,0.0,0.0,0.010580393083672437,0.008381322868878749,0.03558787438121923,0.06291252156770182,0.7394356261552552,0.0,0.0,0.0,0.0,0.0,0.055424668620956005,0.0
291,0.997,0.997,0.942,33,0.998,0.998,0.953,4.352941176470588,0.443,,0.0,0.0,0.0,0.0,2.2655896469671924e-17,0.0,0.0,0.04587302307815914,0.011638456154903042,0.0,0.016280223454985435,0.007870789485698361,0.0,0.0,0.00393518433351277,0.010117853843207033,0.0,0.0,0.0,0.01736440408937502,0.02051752290894926,0.07675635139403326,0.7384627188973906,0.0,0.0,0.0,0.007943259116398455,0.0432402132433876,0.0,0.0
292,1.0,1.0,0.912,33,1.0,1.0,0.93,4.0,0.427,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015857760691975045,0.0,0.0,0.02401582199782961,0.0,0.0,0.0,0.0,0.01005025125628138,0.0,0.0,0.0,0.0,0.0,0.013831765692410267,0.7489515596051539,0.03451339619596117,0.014344826573359457,0.0,0.06784051223074244,0.07059410575628662,0.0,0.0
293,1.0,1.0,0.854,31,1.0,1.0,0.884,4.1875,0.449,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04556074766355201,0.0,0.0,0.0,0.02925957537607991,0.013026668386120356,0.0,0.012936610608020887,0.0,0.0,0.0,0.007326007326007421,0.005893136483561367,0.0,0.0602609562108116,0.7317420351669769,0.0029189815373626632,0.09107528124150702,0.0,0.0,0.0,0.0,0.0
294,1.0,1.0,0.906,37,1.0,1.0,0.926,3.9473684210526314,0.413,,1.800361661554331e-17,0.011959521619135393,0.0,0.0,0.015842375024960817,0.007326007326007423,0.0,0.0,0.0,0.0,0.007730786721237125,0.012549914432401724,0.02028653176348865,0.0,0.005879916101014945,0.0,0.0,0.020400659706390444,0.0,0.0,0.0,0.027290606921679516,0.7607618941898197,0.0,0.06879031929228052,0.0,0.0,0.0411814669015838,0.0,0.0
295,0.995,0.995,0.906,21,0.996,0.996,0.926,3.0,0.296,,0.0,0.0,0.0,0.04959390871286726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011297071129707223,0.0,0.0077472042377870285,0.0,0.0,0.0,0.0,0.0,0.035560128240044245,0.8356345723608715,0.0,0.0,0.0,0.0,0.031758024409631616,0.0,0.028409090909091182
296,1.0,1.0,0.924,31,1.0,1.0,0.94,4.1875,0.474,,0.0,0.023539461184313448,0.0,0.0,0.0,0.02930402930402968,0.0,0.7173308106495344,0.0,0.011378002528445147,0.0,0.0,0.0,0.025860927711050922,0.0033122488461086834,0.0,0.0,0.007448789571694665,0.0,0.010101010101010225,0.06744350702250174,0.052892691574174006,0.03199825113109535,0.0,0.01321743086986868,0.006172839506172921,0.0,0.0,0.0,0.0
